"Isolate_Id","Subtype","Submitting_Lab","Originating_Lab"
"EPI_ISL_347496","A/H1N1pdm09","Instituto de Salud Publica de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_333040","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Nacional de Laboratoriosde Salud (INLASA)"
"EPI_ISL_320254","A/H1N1pdm09","Centers for Disease Control and Prevention","INSPI"
"EPI_ISL_321976","A/H1N1pdm09","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_329866","A/H1N1pdm09","Centers for Disease Control and Prevention","Intituto Nacional de Epidemiologia"
"EPI_ISL_347100","A/H1N1pdm09","Instituto de Salud Publica de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_322875","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Nacional de Laboratoriosde Salud (INLASA)"
"EPI_ISL_319773","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_319814","A/H1N1pdm09","Centers for Disease Control and Prevention","Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud"
"EPI_ISL_381961","A/H1N1pdm09","Instituto de Salud Publica de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_377810","A/H1N1pdm09","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_390222","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_378004","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)"
"EPI_ISL_389412","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","LACEN/SC"
"EPI_ISL_392599","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Adolfo Lutz"
"EPI_ISL_381995","A/H1N1pdm09","Instituto de Salud Publica de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_377809","A/H1N1pdm09","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_389377","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central do Estado do Paraná - LACEN/PR"
"EPI_ISL_389437","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central do Estado do Paraná - LACEN/PR"
"EPI_ISL_367512","A/H1N1pdm09","Instituto de Salud Publica de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_386937","A/H1N1pdm09","Instituto de Salud Publica de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_398160","A/H1N1pdm09","Instituto Adolfo Lutz","Instituto Adolfo Lutz"
"EPI_ISL_393609","A/H1N1pdm09","Centers for Disease Control and Prevention","Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud"
"EPI_ISL_403517","A/H1N1pdm09","Instituto de Salud Publica de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_381980","A/H1N1pdm09","Instituto de Salud Publica de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_418607","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)"
"EPI_ISL_382027","A/H1N1pdm09","Instituto de Salud Publica de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_381879","A/H1N1pdm09","Instituto de Salud Publica de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_403520","A/H1N1pdm09","Instituto de Salud Publica de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_349810","A/H1N1pdm09","Centers for Disease Control and Prevention","INSPI"
"EPI_ISL_403507","A/H1N1pdm09","Instituto de Salud Publica de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_367509","A/H1N1pdm09","Instituto de Salud Publica de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_404838","A/H1N1pdm09","Centers for Disease Control and Prevention","INSPI"
"EPI_ISL_392606","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Adolfo Lutz"
"EPI_ISL_395468","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)"
"EPI_ISL_390340","A/H1N1pdm09","Centers for Disease Control and Prevention","Intituto Nacional de Epidemiologia"
"EPI_ISL_392610","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Adolfo Lutz"
"EPI_ISL_392612","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Adolfo Lutz"
"EPI_ISL_584015","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)"
"EPI_ISL_18054209","A/H1N1pdm09","Laboratório Central de Saúde Publica do estado da Bahia","Laboratório Central de Saúde Pública Professor Gonçalo Moniz, LACEN-BA"
"EPI_ISL_487488","A/H1N1pdm09","Centers for Disease Control and Prevention","National Influenza Center French Guiana and French Indies"
"EPI_ISL_18054215","A/H1N1pdm09","Laboratório Central de Saúde Publica do estado da Bahia","Laboratório Central de Saúde Pública Professor Gonçalo Moniz, LACEN-BA"
"EPI_ISL_471580","A/H1N1pdm09","Centers for Disease Control and Prevention","Central Laboratory, Bureau of Public Health"
"EPI_ISL_637236","A/H1N1pdm09","Centers for Disease Control and Prevention","INSPI"
"EPI_ISL_637235","A/H1N1pdm09","Centers for Disease Control and Prevention","INSPI"
"EPI_ISL_516139","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","LACEN/RS - Laboratório Central de Saúde Pública do Rio Grande do Sul"
"EPI_ISL_637232","A/H1N1pdm09","Centers for Disease Control and Prevention","INSPI"
"EPI_ISL_482912","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_482915","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_516182","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","LACEN/ES - Laboratório Central de Saúde Pública do Espírito Santo"
"EPI_ISL_516153","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central do Estado do Paraná - LACEN/PR"
"EPI_ISL_18054234","A/H1N1pdm09","Laboratório Central de Saúde Publica do estado da Bahia","Laboratório Central de Saúde Pública Professor Gonçalo Moniz, LACEN-BA"
"EPI_ISL_482899","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_487486","A/H1N1pdm09","Centers for Disease Control and Prevention","National Influenza Center French Guiana and French Indies"
"EPI_ISL_18054211","A/H1N1pdm09","Laboratório Central de Saúde Publica do estado da Bahia","Laboratório Central de Saúde Pública Professor Gonçalo Moniz, LACEN-BA"
"EPI_ISL_584018","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)"
"EPI_ISL_516121","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","LACEN SC"
"EPI_ISL_482904","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)"
"EPI_ISL_499057","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto de Salud Publica de Chile"
"EPI_ISL_637241","A/H1N1pdm09","Centers for Disease Control and Prevention","INSPI"
"EPI_ISL_18054202","A/H1N1pdm09","Laboratório Central de Saúde Publica do estado da Bahia","Laboratório Central de Saúde Pública Professor Gonçalo Moniz, LACEN-BA"
"EPI_ISL_516099","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central de Saúde Pública (LACEN RJ)"
"EPI_ISL_18054242","A/H1N1pdm09","Laboratório Central de Saúde Publica do estado da Bahia","Laboratório Central de Saúde Pública Professor Gonçalo Moniz, LACEN-BA"
"EPI_ISL_487490","A/H1N1pdm09","Centers for Disease Control and Prevention","National Influenza Center French Guiana and French Indies"
"EPI_ISL_637243","A/H1N1pdm09","Centers for Disease Control and Prevention","INSPI"
"EPI_ISL_482903","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)"
"EPI_ISL_517698","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Adolfo Lutz"
"EPI_ISL_499059","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto de Salud Publica de Chile"
"EPI_ISL_499063","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto de Salud Publica de Chile"
"EPI_ISL_8809154","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Nacional de Salud de Columbia"
"EPI_ISL_18909324","A/H1N1pdm09","Laboratório Central de Saúde Pública do Distrito Federal","Laboratório Central de Saúde Pública do Distrito Federal"
"EPI_ISL_12241586","A/H1N1pdm09","Crick Worldwide Influenza Centre","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_15025130","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_15684646","A/H1N1pdm09","Instituto Adolfo Lutz","Instituto Adolfo Lutz - National Influenza Center"
"EPI_ISL_16833449","A/H1N1pdm09","Centers for Disease Control and Prevention","National Influenza Center"
"EPI_ISL_18810519","A/H1N1pdm09","Ezequiel Dias Foundation (FUNED)","Ezequiel Dias Foundation (FUNED)"
"EPI_ISL_17546210","A/H1N1pdm09","Instituto de Salud Publica","Instituto de Salud Publica de Chile"
"EPI_ISL_15807474","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central de Saúde Pública Professor Gonçalo Moniz, LACEN-BA"
"EPI_ISL_16744619","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","LACEN SC"
"EPI_ISL_17710168","A/H1N1pdm09","CNR Virus des Infections Respiratoires, France SUD","Molecular Biology/Microbiology Research Laboratory. Universidade Federal do Paraná"
"EPI_ISL_16681642","A/H1N1pdm09","Crick Worldwide Influenza Centre","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_16744614","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","LACEN SC"
"EPI_ISL_16744621","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central de Saúde Pública de Alagoas, LACEN-AL"
"EPI_ISL_16835587","A/H1N1pdm09","Centers for Disease Control and Prevention","Intituto Nacional de Epidemiologia"
"EPI_ISL_16744629","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central de Saúde Pública de Alagoas, LACEN-AL"
"EPI_ISL_16681637","A/H1N1pdm09","Crick Worldwide Influenza Centre","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_16744578","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central do Estado do Paraná - LACEN/PR"
"EPI_ISL_17546207","A/H1N1pdm09","Instituto de Salud Publica","Instituto de Salud Publica de Chile"
"EPI_ISL_16833161","A/H1N1pdm09","Centers for Disease Control and Prevention","National Influenza Center"
"EPI_ISL_18746891","A/H1N1pdm09","Instituto Butantan","Instituto Butantan"
"EPI_ISL_16834679","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Nacional de Salud de Columbia"
"EPI_ISL_17859995","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","LACEN/RS - Laboratório Central de Saúde Pública do Rio Grande do Sul"
"EPI_ISL_17859994","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","LACEN/RS - Laboratório Central de Saúde Pública do Rio Grande do Sul"
"EPI_ISL_16744594","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central de Saúde Pública (LACEN RJ)"
"EPI_ISL_16744575","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central do Estado do Paraná - LACEN/PR"
"EPI_ISL_17464494","A/H1N1pdm09","Evandro Chagas Institute","Evandro Chagas Institute"
"EPI_ISL_16830510","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Adolfo Lutz"
"EPI_ISL_16834525","A/H1N1pdm09","Centers for Disease Control and Prevention","Intituto Nacional de Epidemiologia"
"EPI_ISL_17710161","A/H1N1pdm09","CNR Virus des Infections Respiratoires, France SUD","Molecular Biology/Microbiology Research Laboratory. Universidade Federal do Paraná"
"EPI_ISL_16834530","A/H1N1pdm09","Centers for Disease Control and Prevention","Intituto Nacional de Epidemiologia"
"EPI_ISL_16377250","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Adolfo Lutz"
"EPI_ISL_16157538","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central do Estado do Paraná - LACEN/PR"
"EPI_ISL_18226932","A/H1N1pdm09","Crick Worldwide Influenza Centre","Instituto Nacional de Enfermedades Infecciosas"
"EPI_ISL_18463821","A/H1N1pdm09","Oswaldo Cruz Foundation","FUNED MG"
"EPI_ISL_18042743","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central do Estado do Paraná - LACEN/PR"
"EPI_ISL_19023426","A/H1N1pdm09","Instituto de Salud Publica de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_17851830","A/H1N1pdm09","Instituto Adolfo Lutz","Instituto Adolfo Lutz - National Influenza Center"
"EPI_ISL_19027822","A/H1N1pdm09","Instituto de Salud Publica de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_18723342","A/H1N1pdm09","Instituto Butantan","Instituto Butantan"
"EPI_ISL_19029385","A/H1N1pdm09","Instituto de Salud Publica de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_18786012","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Nacional de Higiene ""Rafael Rangel"""
"EPI_ISL_18374084","A/H1N1pdm09","Instituto Butantan","Instituto Butantan"
"EPI_ISL_18049972","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central do Estado do Paraná - LACEN/PR"
"EPI_ISL_18304039","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto de Salud Publica de Chile"
"EPI_ISL_19027769","A/H1N1pdm09","Instituto de Salud Publica de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_17464533","A/H1N1pdm09","Evandro Chagas Institute","Evandro Chagas Institute"
"EPI_ISL_17813943","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central do Estado do Paraná - LACEN/PR"
"EPI_ISL_18143151","A/H1N1pdm09","Centers for Disease Control and Prevention","National Influenza Center"
"EPI_ISL_18742871","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Adolfo Lutz"
"EPI_ISL_19029599","A/H1N1pdm09","Instituto de Salud Publica de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_18709262","A/H1N1pdm09","Centers for Disease Control and Prevention","Intituto Nacional de Epidemiologia"
"EPI_ISL_18087982","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central de Saúde Pública de Alagoas, LACEN-AL"
"EPI_ISL_18271109","A/H1N1pdm09","Instituto Adolfo Lutz","Instituto Adolfo Lutz - National Influenza Center"
"EPI_ISL_18022031","A/H1N1pdm09","Centers for Disease Control and Prevention","Instituto Nacional de Salud de Columbia"
"EPI_ISL_18075637","A/H1N1pdm09","Evandro Chagas Institute","Evandro Chagas Institute"
"EPI_ISL_18137535","A/H1N1pdm09","Instituto de Salud Pública de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_18209882","A/H1N1pdm09","Laboratório Central de Saúde Pública do Distrito Federal","Laboratório Central de Saúde Pública do Distrito Federal"
"EPI_ISL_18810357","A/H1N1pdm09","Ezequiel Dias Foundation (FUNED)","Ezequiel Dias Foundation (FUNED)"
"EPI_ISL_19026208","A/H1N1pdm09","Instituto de Salud Publica de Chile","Instituto de Salud Publica de Chile"
"EPI_ISL_18022189","A/H1N1pdm09","Centers for Disease Control and Prevention","Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud"
"EPI_ISL_18087974","A/H1N1pdm09","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central de Saúde Pública de Alagoas, LACEN-AL"
"EPI_ISL_17694184","A/H1N1pdm09","Oswaldo Cruz Foundation","LAB DE A CLIN MUNICIPAL DE CASCAVEL"
"EPI_ISL_290607","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_278690","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_390541","A/H1N1pdm09","First Affiliated Hospital Medical School of Zhejiang University","The First Affiliated Hospital, College of Medicine, Zhejiang University"
"EPI_ISL_278680","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_278558","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_390542","A/H1N1pdm09","First Affiliated Hospital Medical School of Zhejiang University","The First Affiliated Hospital, College of Medicine, Zhejiang University"
"EPI_ISL_268708","A/H1N1pdm09","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_303176","A/H1N1pdm09","Centers for Disease Control and Prevention","Government Virus Unit"
"MT540618.1","A/H1N1pdm09","Yunnan Provincial Centre for Disease Control and Prevention, Department of Acute Infectious Diseases Control and Prevention",NA
"EPI_ISL_253307","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_281598","A/H1N1pdm09","Centers for Disease Control and Prevention","Government Virus Unit"
"MT540632.1","A/H1N1pdm09","Yunnan Provincial Centre for Disease Control and Prevention, Department of Acute Infectious Diseases Control and Prevention",NA
"EPI_ISL_390539","A/H1N1pdm09","First Affiliated Hospital Medical School of Zhejiang University","The First Affiliated Hospital, College of Medicine, Zhejiang University"
"EPI_ISL_280460","A/H1N1pdm09","Centers for Disease Control, R.O.C. (Taiwan)",NA
"EPI_ISL_270607","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_277396","A/H1N1pdm09","National Institute of Infectious Diseases (NIID)","Center for Disease Control"
"EPI_ISL_268697","A/H1N1pdm09","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_278553","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_270647","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_321103","A/H1N1pdm09","Centers for Disease Control, R.O.C. (Taiwan)",NA
"EPI_ISL_1652533","A/H1N1pdm09","Ningbo International Travel Healthcare Center","Ningbo international travel healthcare center"
"EPI_ISL_1652534","A/H1N1pdm09","Ningbo International Travel Healthcare Center","Ningbo international travel healthcare center"
"EPI_ISL_268712","A/H1N1pdm09","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_290647","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_275659","A/H1N1pdm09","Centers for Disease Control and Prevention","Government Virus Unit"
"EPI_ISL_270645","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_278557","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_304284","A/H1N1pdm09","Centers for Disease Control and Prevention","Government Virus Unit"
"EPI_ISL_344316","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_314218","A/H1N1pdm09","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_297047","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_334972","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"MN653601.1","A/H1N1pdm09","Southern Medical University, Guangdong Provincial Key Laboratory of Tropical Disease Research, School of Public Health",NA
"EPI_ISL_390549","A/H1N1pdm09","First Affiliated Hospital Medical School of Zhejiang University","The First Affiliated Hospital, College of Medicine, Zhejiang University"
"EPI_ISL_336907","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_332716","A/H1N1pdm09","Centers for Disease Control, R.O.C. (Taiwan)",NA
"EPI_ISL_390566","A/H1N1pdm09","First Affiliated Hospital Medical School of Zhejiang University","The First Affiliated Hospital, College of Medicine, Zhejiang University"
"MN653622.1","A/H1N1pdm09","Southern Medical University, Guangdong Provincial Key Laboratory of Tropical Disease Research, School of Public Health",NA
"EPI_ISL_335136","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_322047","A/H1N1pdm09","Hong Kong Department of Health","Hong Kong Department of Health"
"EPI_ISL_337318","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_344349","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_390527","A/H1N1pdm09","First Affiliated Hospital Medical School of Zhejiang University","The First Affiliated Hospital, College of Medicine, Zhejiang University"
"EPI_ISL_344372","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_334979","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_319757","A/H1N1pdm09","Centers for Disease Control and Prevention","Government Virus Unit"
"EPI_ISL_332122","A/H1N1pdm09","Hong Kong Department of Health","Hong Kong Department of Health"
"EPI_ISL_344306","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_332113","A/H1N1pdm09","Hong Kong Department of Health","Hong Kong Department of Health"
"EPI_ISL_18623952","A/H1N1pdm09","Chinese University of Hong Kong","the Chinese University of Hong Kong"
"EPI_ISL_365610","A/H1N1pdm09","Institut Pasteur of Shanghai, CAS","Institut Pasteur of Shanghai"
"EPI_ISL_334572","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_335055","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"MT540638.1","A/H1N1pdm09","Yunnan Provincial Centre for Disease Control and Prevention, Department of Acute Infectious Diseases Control and Prevention",NA
"EPI_ISL_344335","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_390731","A/H1N1pdm09","First Affiliated Hospital Medical School of Zhejiang University","The First Affiliated Hospital, College of Medicine, Zhejiang University"
"EPI_ISL_334934","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18623987","A/H1N1pdm09","Chinese University of Hong Kong","the Chinese University of Hong Kong"
"EPI_ISL_344757","A/H1N1pdm09","Centers for Disease Control and Prevention","Government Virus Unit"
"EPI_ISL_390247","A/H1N1pdm09","Centers for Disease Control and Prevention","Government Virus Unit"
"EPI_ISL_18624036","A/H1N1pdm09","Chinese University of Hong Kong","the Chinese University of Hong Kong"
"EPI_ISL_406116","A/H1N1pdm09","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_392623","A/H1N1pdm09","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_424679","A/H1N1pdm09","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_367228","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18624024","A/H1N1pdm09","Chinese University of Hong Kong","the Chinese University of Hong Kong"
"EPI_ISL_365640","A/H1N1pdm09","Institut Pasteur of Shanghai, CAS","Institut Pasteur of Shanghai"
"EPI_ISL_406117","A/H1N1pdm09","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_18624038","A/H1N1pdm09","Chinese University of Hong Kong","the Chinese University of Hong Kong"
"EPI_ISL_337380","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_377082","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_367297","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_367273","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_367294","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_341865","A/H1N1pdm09","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_351751","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","Laboratorio De Saude Publico"
"EPI_ISL_365652","A/H1N1pdm09","Institut Pasteur of Shanghai, CAS","Institut Pasteur of Shanghai"
"EPI_ISL_402326","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_485531","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_394872","A/H1N1pdm09","Centers for Disease Control, R.O.C. (Taiwan)","Centers for Disease Control, R.O.C. (Taiwan)"
"EPI_ISL_406126","A/H1N1pdm09","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_402379","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_614337","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18624049","A/H1N1pdm09","Chinese University of Hong Kong","the Chinese University of Hong Kong"
"EPI_ISL_18624010","A/H1N1pdm09","Chinese University of Hong Kong","the Chinese University of Hong Kong"
"EPI_ISL_18624032","A/H1N1pdm09","Chinese University of Hong Kong","the Chinese University of Hong Kong"
"EPI_ISL_367226","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_522422","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_485541","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_485481","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_410638","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_979818","A/H1N1pdm09","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
